"","day","treatment","batch","trial_num","insem_start","trial_end","insem_dur","encounter","running_away_dur","refusal_posture","insem_resist","mounts","trial_dur","prop_run","prop_insem_resist","insem_lat"
"1","4","virgin",2,1,76.11,135.105,58.995,27.604,0,0,3.467,1,107.501,0,0.0587676921773032,48.506
"2","4","focal",2,2,478.91,502.675,23.765,22.416,33.291,0,0,10,480.259,0.0729275740754533,0,456.494
"3","3","focal",1,3,89.637,154.884,65.247,27.101,0,0,0,1,127.783,0,0,62.536
"4","3","virgin",1,4,27.616,74.124,46.508,22.115,0,0,0,1,52.009,0,0,5.501
"5","3","focal",1,5,258.133,284.886,26.753,42.351,4.264,0,0,1,242.535,0.0197606843944351,0,215.782
"6","2","virgin",1,6,49.133,121.915,72.782,29.987,0,0,38.458,1,91.928,0,0.528399879090984,19.146
"7","3","focal",1,7,82.106,116.858,34.752,59.86,0,0,0,1,56.998,0,0,22.246
"8","2","focal",1,8,159.169,194.92,35.751,72.158,1.75,0,0.999,2,122.762,0.0201123995816621,0.0279432743140052,87.011
"9","4","virgin",2,9,65.243,127.885,62.642,31.054,5.404,0,18.579,2,96.831,0.158062534733394,0.296590147185594,34.189
"10","1","focal",1,11,1041.933,1101.691,59.758,132.437,5.754,0,0,4,969.254,0.00632658087556185,0,909.496
"11","2","virgin",1,12,233.675,345.407,111.732,204.327,0,0,37.493,1,141.08,0,0.335561880213368,29.348
"12","4","virgin",1,13,41.921,98.418,56.497,17.41,0,0,19.49,1,81.008,0,0.344974069419615,24.511
"13","5","focal",2,14,78.906,137.431,58.525,29.167,0,0,14.752,2,108.264,0,0.252063220845792,49.739
"14","5","virgin",2,15,50.93,104.684,53.754,22.665,0,0,5.75,1,82.019,0,0.106968783718421,28.265
"15","4","focal",2,16,123.929,164.919,40.99,37.92,11.966,0,0,1,126.999,0.139124975293283,0,86.009
"16","5","focal",1,17,43.329,71.948,28.619,8.839,1.534,0,2.101,1,63.109,0.0444766599014207,0.0734127677417101,34.49
"17","6","focal",2,18,146.031,174.75,28.719,7.659,11.306,0,9.639,2,167.091,0.0817072818200214,0.335631463491069,138.372
"18","6","virgin",2,19,248.927,340.159,91.232,21.665,6.249,0,4.999,1,318.494,0.0274968978535787,0.0547943703963522,227.262
"19","6","virgin",1,20,69.443,159.174,89.731,30.418,0,0,12.747,1,128.756,0,0.142057928697997,39.025
"20","4","focal",1,21,46.672,94.187,47.515,39.673,0,0,0,1,54.514,0,0,6.999
"21","5","virgin",1,22,62.432,104.923,42.491,27.422,0,0,3.75,1,77.501,0,0.0882539831964416,35.01
"22","1","focal",2,23,62.434,117.928,55.494,13.376,0,0,33.516,1,104.552,0,0.603957184560493,49.058
"23","5","focal",2,24,72.403,106.175,33.772,42.762,2.316,0,0,1,63.413,0.0781350156877298,0,29.641
"24","3","focal",1,25,972.937,1011.689,38.752,23.165,11.247,0,0,4,988.524,0.0118417893978765,0,949.772
"25","5","focal",1,26,109.925,132.672,22.747,24.683,2.101,0,12.993,1,107.989,0.024647474249783,0.571196201696927,85.242
"26","2","virgin",1,27,122.938,210.904,87.966,118.166,0,0,34.996,1,92.738,0,0.397835527362845,4.77200000000001
"27","1","virgin",2,28,79.408,162.414,83.006,9.913,0,0,38.279,1,152.501,0,0.461159434257765,69.495
"28","6","focal",2,29,528.187,629.94,101.753,12.415,10.796,0,49.491,10,617.525,0.0209317295238982,0.486383693846864,515.772
"29","4","virgin",1,30,NA,NA,NA,35.672,6.999,6.511,0,6,1200,NA,NA,NA
