treatment,date ,day,average,sum,cumulative
low,may_27,17,16.05,321,321
low,may_31,21,3.35,67,388
low,june_3,24,9.3,186,574
low,june_7,28,3,60,634
low,june_10,31,8.5,170,804
low,june_14,35,4.6,92,896
low,june_17,38,7.157894737,136,1032
low,june_21,42,5.315789474,101,1133
high,may_27,17,16.65,333,333
high,may_31,21,2.65,53,386
high,june_3,24,9.736842105,185,571
high,june_7,28,2.368421053,45,616
high,june_10,31,8.368421053,159,775
high,june_14,35,2.631578947,50,825
high,june_17,38,6.263157895,119,944
high,june_21,42,2.944444444,53,997
