treatment,arena,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,total,eggs,hatch_rate,longevity,egg_lay_rate
High,1,16,12,10,3,5,11,1,0,0,0,0,58,59,0.983050847,45,1.311111111
High,2,16,9,13,10,15,7,2,0,0,0,0,72,76,0.947368421,46,1.652173913
High,3,16,12,11,8,11,8,2,0,0,0,0,68,70,0.971428571,45,1.555555556
High,4,8,12,9,12,16,9,0,0,0,0,0,66,66,1,45,1.466666667
High,5,20,12,10,9,10,12,1,0,0,0,0,74,74,1,45,1.644444444
High,6,19,16,11,13,12,5,0,0,0,0,0,76,77,0.987012987,43,1.790697674
High,7,17,10,10,5,16,13,8,5,8,4,0,96,97,0.989690722,73,1.328767123
High,8,18,10,11,9,12,9,3,0,0,0,0,72,76,0.947368421,50,1.52
High,9,16,13,13,12,0,10,12,7,1,0,0,84,87,0.965517241,62,1.403225806
High,10,19,13,13,9,11,13,13,11,5,0,0,107,109,0.981651376,65,1.676923077
High,11,16,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
High,12,20,12,8,8,14,4,12,0,0,0,0,78,78,1,53,1.471698113
High,13,17,11,7,10,11,12,7,2,0,0,0,77,80,0.9625,54,1.481481481
High,14,15,15,7,12,8,8,1,0,0,0,0,66,68,0.970588235,45,1.511111111
High,15,17,14,10,9,13,6,8,1,0,0,0,78,81,0.962962963,57,1.421052632
High,16,12,14,15,11,15,2,11,4,9,12,0,105,108,0.972222222,76,1.421052632
High,17,20,10,13,6,1,0,0,0,0,0,0,50,54,0.925925926,36,1.5
High,18,16,13,10,3,0,0,0,0,0,0,0,42,42,1,29,1.448275862
High,19,19,13,12,7,11,9,14,4,14,6,1,110,113,0.973451327,75,1.506666667
High,20,16,14,11,13,13,13,0,0,0,0,0,80,80,1,50,1.6
Low,1,14,17,8,10,15,14,15,11,16,14,6,140,141,0.992907801,77,1.831168831
Low,2,19,14,15,14,17,13,12,10,15,1,2,132,137,0.96350365,76,1.802631579
Low,3,13,14,9,13,14,12,12,6,17,11,6,127,128,0.9921875,77,1.662337662
Low,4,16,10,15,12,12,12,11,8,9,13,7,125,127,0.984251969,77,1.649350649
Low,5,15,12,12,12,11,11,0,0,0,0,0,73,77,0.948051948,47,1.638297872
Low,6,15,12,10,12,14,15,12,11,13,9,5,128,129,0.992248062,77,1.675324675
Low,7,18,16,14,11,14,8,10,9,15,13,10,138,138,1,77,1.792207792
Low,8,15,14,11,13,14,11,14,11,1,0,0,104,107,0.971962617,61,1.754098361
Low,9,19,10,12,11,13,15,12,13,12,10,5,132,133,0.992481203,77,1.727272727
Low,10,20,12,13,15,15,14,14,13,15,13,10,154,156,0.987179487,77,2.025974026
Low,11,13,15,15,12,16,10,11,0,0,0,0,92,92,1,55,1.672727273
Low,12,19,12,13,12,14,12,12,9,15,12,9,139,145,0.95862069,77,1.883116883
Low,13,18,14,14,10,14,10,12,6,14,10,5,127,128,0.9921875,77,1.662337662
Low,14,17,14,10,11,11,9,7,1,0,0,0,80,80,1,57,1.403508772
Low,15,15,15,11,11,16,10,8,11,15,13,4,129,130,0.992307692,77,1.688311688
Low,16,17,15,14,12,15,11,10,9,16,12,8,139,140,0.992857143,77,1.818181818
Low,17,18,2,11,3,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Low,18,15,13,4,12,15,13,11,10,13,14,9,129,131,0.984732824,77,1.701298701
Low,19,14,10,9,12,16,12,10,0,0,0,0,83,85,0.976470588,54,1.574074074
Low,20,11,12,10,10,11,13,13,12,13,11,6,122,123,0.991869919,77,1.597402597
