treatment,date ,day,average,sum,cumulative,,,,,,,,
low,may_27,17,16.05,321,321,,,,,,,,
low,may_31,21,3.35,67,388,,,,,,,,
low,june_3,24,9.3,186,574,,,,,,,,
low,june_7,28,3,60,634,,,,,,,,
low,june_10,31,8.5,170,804,,,,,,,,
low,june_14,35,4.6,92,896,,,,,,,,
low,june_17,38,7.157894737,136,1032,,,,,,,,
low,june_21,42,5.315789474,101,1133,,,,,,,,
low,june_24,45,8.789473684,167,1300,,,,,,,,
low,june_28,49,1.052631579,20,1320,,,,,,,,
low,july_1,52,10.73684211,204,1524,,,,,,,,
low,july_6,56,2.315789474,44,1568,,,,,,,,
low,july_8,59,9,162,1730,,,,,,,,
high,may_27,17,16.65,333,333,,,,,,,,
high,may_31,21,2.65,53,386,,,,,,,,
high,june_3,24,9.736842105,185,571,,,,,,,,
high,june_7,28,2.368421053,45,616,,,,,,,,
high,june_10,31,8.368421053,159,775,,,,,,,,
high,june_14,35,2.631578947,50,825,,,,,,,,
high,june_17,38,6.263157895,119,944,,,,,,,,
high,june_21,42,2.944444444,53,997,,,,,,,,
high,june_24,45,7.833333333,141,1138,,,,,,,,
high,june_28,49,1,16,1154,,,,,,,,
high,july_1,52,7.941176471,135,1289,,,,,,,,
high,july_6,56,3.653846154,23,1312,,,,,,,,
high,july_8,59,7.2,72,1384,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
