date,arena,treatment,trial_start,mating_start,mating_end,pursuit_start,mating_duration,pursuit_duration,harassment_start,notes,
05-11-2022,1,high,10:32:07 AM,10:37:24 AM,10:40:24 AM,#VALUE!,180,#VALUE!,NA,times for day 1 less accurage bc I had to observe them myself,
05-11-2022,2,high,10:32:41 AM,10:49:25 AM,10:53:32 AM,#VALUE!,247,#VALUE!,NA,I'm confident about the inseminations though,
05-11-2022,3,high,10:32:41 AM,10:34:21 AM,10:35:33 AM,#VALUE!,72,#VALUE!,NA,,
05-11-2022,4,high,10:33:37 AM,10:44:00 AM,10:46:26 AM,#VALUE!,146,#VALUE!,NA,,
05-11-2022,5,high,10:33:38 AM,10:34:01 AM,10:37:59 AM,#VALUE!,238,#VALUE!,NA,,
05-11-2022,6,high,10:35:16 AM,10:36:02 AM,10:37:58 AM,#VALUE!,116,#VALUE!,NA,,
05-11-2022,7,high,10:37:12 AM,10:39:08 AM,10:43:35 AM,#VALUE!,267,#VALUE!,NA,,
05-11-2022,8,high,10:39:09 AM,10:59:41 AM,11:01:41 AM,#VALUE!,120,#VALUE!,NA,,
05-11-2022,9,high,10:40:06 AM,10:40:48 AM,10:47:15 AM,#VALUE!,387,#VALUE!,NA,,
05-11-2022,10,high,10:41:16 AM,10:42:59 AM,10:47:06 AM,#VALUE!,247,#VALUE!,NA,,
05-11-2022,11,high,10:42:39 AM,10:43:28 AM,10:52:48 AM,#VALUE!,560,#VALUE!,NA,,
05-11-2022,12,high,10:42:40 AM,10:43:15 AM,10:45:44 AM,#VALUE!,149,#VALUE!,NA,,
05-11-2022,13,high,10:49:13 AM,10:52:39 AM,10:55:28 AM,#VALUE!,169,#VALUE!,NA,,
05-11-2022,14,high,10:49:13 AM,10:50:42 AM,10:53:41 AM,#VALUE!,179,#VALUE!,NA,,
05-11-2022,15,high,10:50:05 AM,10:59:51 AM,11:03:08 AM,#VALUE!,197,#VALUE!,NA,,
05-11-2022,16,high,10:50:06 AM,10:51:42 AM,10:55:26 AM,#VALUE!,224,#VALUE!,NA,,
05-11-2022,17,high,10:55:01 AM,10:55:02 AM,10:57:36 AM,#VALUE!,154,#VALUE!,NA,,
05-11-2022,18,high,10:55:10 AM,10:55:43 AM,10:59:10 AM,#VALUE!,207,#VALUE!,NA,,
05-11-2022,19,high,10:57:30 AM,10:58:07 AM,11:03:06 AM,#VALUE!,299,#VALUE!,NA,,
05-11-2022,20,high,10:57:31 AM,10:58:08 AM,11:00:27 AM,#VALUE!,139,#VALUE!,NA,,
05-11-2022,1,low,11:05:05 AM,11:08:41 AM,11:12:18 AM,#VALUE!,217,#VALUE!,NA,,
05-11-2022,2,low,11:05:06 AM,11:06:43 AM,11:09:25 AM,#VALUE!,162,#VALUE!,NA,,
05-11-2022,3,low,11:05:06 AM,11:05:51 AM,11:12:20 AM,#VALUE!,389,#VALUE!,NA,,
05-11-2022,4,low,11:05:38 AM,11:06:27 AM,11:09:19 AM,#VALUE!,172,#VALUE!,NA,,
05-11-2022,5,low,11:05:39 AM,11:06:15 AM,11:09:19 AM,#VALUE!,184,#VALUE!,NA,,
05-11-2022,6,low,11:12:22 AM,11:13:19 AM,11:15:31 AM,#VALUE!,132,#VALUE!,NA,,
05-11-2022,7,low,11:12:23 AM,11:18:00 AM,11:22:00 AM,#VALUE!,240,#VALUE!,NA,,
05-11-2022,8,low,11:12:23 AM,11:13:20 AM,11:14:53 AM,#VALUE!,93,#VALUE!,NA,,
05-11-2022,9,low,11:13:06 AM,11:13:29 AM,11:18:06 AM,#VALUE!,277,#VALUE!,NA,,
05-11-2022,10,low,11:13:07 AM,11:30:48 AM,11:32:23 AM,#VALUE!,95,#VALUE!,NA,,
05-11-2022,11,low,11:14:36 AM,11:16:13 AM,11:19:19 AM,#VALUE!,186,#VALUE!,NA,,
05-11-2022,12,low,11:14:37 AM,11:15:18 AM,11:18:42 AM,#VALUE!,204,#VALUE!,NA,,
05-11-2022,13,low,11:19:59 AM,11:22:34 AM,11:26:18 AM,#VALUE!,224,#VALUE!,NA,,
05-11-2022,14,low,11:19:59 AM,11:20:20 AM,11:22:55 AM,#VALUE!,155,#VALUE!,NA,,
05-11-2022,15,low,11:20:00 AM,11:26:19 AM,11:29:44 AM,#VALUE!,205,#VALUE!,NA,,
05-11-2022,16,low,11:21:54 AM,11:26:20 AM,11:29:44 AM,#VALUE!,204,#VALUE!,NA,,
