trial_num,encounter
1,27.604
2,22.416
3,27.101
4,22.115
5,42.351
6,29.987
7,59.86
8,72.158
9,31.054
11,132.437
12,204.327
13,17.41
14,29.167
15,22.665
16,37.92
17,8.839
18,7.659
19,21.665
20,30.418
21,39.673
22,27.422
23,13.376
24,42.762
25,23.165
26,24.683
27,118.166
28,9.913
29,12.415
30,35.672
31,17.162
32,18.419
33,83.42
34,22.165
35,25.419
36,9.659
37,15.662
38,559.172
39,16.919
40,15.911
41,22.92
42,28.415
43,10.912
44,17.659
45,13.911
46,204.686
48,18.414
49,27.166
50,15.907
51,18.913
53,41.428
54,22.415
55,193.169
56,172.924
57,33.422
59,21.414
60,25.671
61,87.419
63,100.422
64,14.413
65,112.675
66,33.418
67,23.411
68,11.411
69,38.914
70,13.168
71,20.664
72,12.16
73,78.413
75,239.417
76,11.655
77,40.174
78,335.156
79,74.662
80,16.912
81,13.408
82,10.905
83,25.922
84,33.411
85,46.929
86,13.413
87,52.433
88,29.915
89,14.661
90,45.434
91,26.921
92,9.41
93,17.663
94,16.918
95,15.415
96,0.154
97,59.917
98,23.664
99,53.684
100,53.409
101,22.165
104,104.677
105,7.155
106,44.175
107,55.681
108,38.926
109,105.694
110,17.912
111,20.169
112,34.922
113,33.926
115,116.68
116,29.667
117,28.671
118,20.166
119,18.912
120,29.92
121,57.932
123,11.658
124,51.431
125,75.409
126,41.426
127,25.668
128,29.92
129,36.673
130,17.164
131,7.911
132,19.414
133,17.918
134,36.427
135,40.433
136,28.92
137,27.917
138,16.661
139,17.662
140,14.162
141,41.175
142,16.915
143,39.93
144,32.414
145,225.425
146,13.419
147,30.424
148,32.423
149,143.411
150,28.922
151,21.421
152,49.421
153,13.66
154,40.794
155,15.913
156,17.659
157,24.666
158,12.661
159,10.161
160,27.386
161,35.855
162,238.367
163,31
164,21.354
165,72.118
167,23.117
168,21.367
