,day,treatment,batch,arena,trial_num,insem_start,trial_end,insem_dur,encounter,running_away_dur,refusal_posture,insem_resist,mounts
1,4,virgin,2,11,1,76.11,135.105,58.995,27.604,NA,NA,3.467,1
2,4,focal,2,10,2,478.91,502.675,23.765,22.416,33.291,NA,NA,10
3,3,focal,1,4,3,89.637,154.884,65.247,27.101,NA,NA,NA,1
4,3,virgin,1,4,4,27.616,74.124,46.508,22.115,NA,NA,NA,1
5,3,focal,1,5,5,258.133,284.886,26.753,42.351,4.264,NA,NA,1
6,2,virgin,1,3,6,49.133,121.915,72.782,29.987,NA,NA,38.458,1
7,3,focal,1,6,7,82.106,116.858,34.752,59.86,NA,NA,NA,1
8,2,focal,1,2,8,159.169,194.92,35.751,72.158,1.75,NA,0.999,2
9,4,virgin,2,8,9,65.243,127.885,62.642,31.054,5.404,NA,18.579,2
10,1,focal,1,1,11,1041.933,1101.691,59.758,132.437,5.754,NA,NA,4
11,2,virgin,1,5,12,233.675,345.407,111.732,204.327,NA,NA,37.493,1
12,4,virgin,1,2,13,41.921,98.418,56.497,17.41,NA,NA,19.49,1
13,5,focal,2,8,14,78.906,137.431,58.525,29.167,NA,NA,14.752,2
14,5,virgin,2,10,15,50.93,104.684,53.754,22.665,NA,NA,5.75,1
15,4,focal,2,11,16,123.929,164.919,40.99,37.92,11.966,NA,NA,1
16,5,focal,1,1,17,43.329,71.948,28.619,8.839,1.534,NA,2.101,1
17,6,focal,2,12,18,146.031,174.75,28.719,7.659,11.306,NA,9.639,2
18,6,virgin,2,9,19,248.927,340.159,91.232,21.665,6.249,NA,4.999,1
19,6,virgin,1,5,20,69.443,159.174,89.731,30.418,NA,NA,12.747,1
20,4,focal,1,6,21,46.672,94.187,47.515,39.673,NA,NA,NA,1
21,5,virgin,1,5,22,62.432,104.923,42.491,27.422,NA,NA,3.75,1
22,1,focal,2,11,23,62.434,117.928,55.494,13.376,NA,NA,33.516,1
