trial_num,encounter
96,0.154
105,7.155
18,7.659
131,7.911
17,8.839
92,9.41
36,9.659
28,9.913
159,10.161
82,10.905
43,10.912
68,11.411
76,11.655
123,11.658
72,12.16
29,12.415
158,12.661
70,13.168
23,13.376
81,13.408
86,13.413
146,13.419
153,13.66
45,13.911
140,14.162
64,14.413
89,14.661
95,15.415
37,15.662
50,15.907
40,15.911
155,15.913
138,16.661
80,16.912
142,16.915
94,16.918
39,16.919
31,17.162
130,17.164
13,17.41
156,17.659
44,17.659
139,17.662
93,17.663
110,17.912
133,17.918
48,18.414
32,18.419
51,18.913
132,19.414
118,20.166
111,20.169
71,20.664
164,21.354
168,21.367
59,21.414
151,21.421
19,21.665
4,22.115
101,22.165
34,22.165
54,22.415
2,22.416
15,22.665
41,22.92
167,23.117
25,23.165
67,23.411
98,23.664
157,24.666
26,24.683
35,25.419
127,25.668
60,25.671
83,25.922
91,26.921
3,27.101
49,27.166
160,27.386
22,27.422
1,27.604
137,27.917
42,28.415
117,28.671
136,28.92
150,28.922
14,29.167
116,29.667
88,29.915
120,29.92
128,29.92
6,29.987
20,30.418
147,30.424
9,31.054
144,32.414
148,32.423
84,33.411
66,33.418
57,33.422
113,33.926
112,34.922
30,35.672
161,35.855
134,36.427
129,36.673
16,37.92
69,38.914
108,38.926
21,39.673
143,39.93
77,40.174
135,40.433
154,40.794
141,41.175
126,41.426
53,41.428
5,42.351
24,42.762
106,44.175
90,45.434
85,46.929
152,49.421
124,51.431
87,52.433
100,53.409
99,53.684
107,55.681
121,57.932
7,59.86
97,59.917
165,72.118
8,72.158
79,74.662
125,75.409
73,78.413
33,83.42
61,87.419
63,100.422
104,104.677
109,105.694
65,112.675
115,116.68
27,118.166
11,132.437
149,143.411
56,172.924
55,193.169
46,204.686
145,225.425
162,238.367
75,239.417
78,335.156
38,559.172
12,204.327
