day,treatment,batch,trial_num,arena,insem_start,insem_end,insem_dur,encounter,running_away_dur,refusal_posture,insem_resist,mounts,trial_dur,prop_run,prop_insem_resist,insem_lat,con_insem_dur,con_prop_run,con_prop_insem_resist,con_insem_lat,con_prop_run_2,con_insem_dur_2,con_insem_lat_2
4,focal,2,2,10,478.91,502.675,23.765,22.416,33.291,0,0,10,480.259,0.072927574,0,456.494,-33.981,0.069318847,-0.059482,415.4765,0.089318847,26.019,545.4765
3,focal,1,3,4,89.637,154.884,65.247,27.101,0,0,0,1,127.783,0,0,62.536,34.006,0,-0.105691,60.757,0.02,94.006,190.757
3,focal,1,5,5,258.133,284.886,26.753,42.351,4.264,0,0,1,242.535,0.019760684,0,215.782,11.753,0.017580968,-0.105691,41.535,0.037580968,71.753,171.535
3,focal,1,7,6,82.106,116.858,34.752,59.86,0,0,0,1,56.998,0,0,22.246,-26.741,0,-0.105691,194.781,0.02,33.259,324.781
2,focal,1,8,2,159.169,194.92,35.751,72.158,1.75,0,0.999,2,122.762,0.0201124,0.027943274,87.011,-33.966,0.014255226,-0.418692726,57.663,0.034255226,26.034,187.663
1,focal,1,11,1,1041.933,1101.691,59.758,132.437,5.754,0,0,4,969.254,0.006326581,0,909.496,-14.991,0.005936524,-0.314009,840.001,0.025936524,45.009,970.001
5,focal,2,14,8,78.906,137.431,58.525,29.167,0,0,14.752,2,108.264,0,0.252063221,49.739,1.028,0,0.139460221,-0.7665,0.02,61.028,129.2335
4,focal,2,16,11,123.929,164.919,40.99,37.92,11.966,0,0,1,126.999,0.139124975,0,86.009,-16.756,0.094221214,-0.059482,44.9915,0.114221214,43.244,174.9915
5,focal,1,17,1,43.329,71.948,28.619,8.839,1.534,0,2.101,1,63.109,0.04447666,0.073412768,34.49,-28.878,0.024307151,-0.039190232,-16.0155,0.044307151,31.122,113.9845
6,focal,2,18,12,146.031,174.75,28.719,7.659,11.306,0,9.639,2,167.091,0.081707282,0.335631463,138.372,-46.532,0.066627282,0.292411463,3.499,0.086627282,13.468,133.499
4,focal,1,21,6,46.672,94.187,47.515,39.673,0,0,0,1,54.514,0,0,6.999,-10.231,0,-0.059482,-34.0185,0.02,49.769,95.9815
1,focal,2,23,11,62.434,117.928,55.494,13.376,0,0,33.516,1,104.552,0,0.603957185,49.058,-19.255,0,0.289948185,-20.437,0.02,40.745,109.563
5,focal,2,24,11,72.403,106.175,33.772,42.762,2.316,0,0,1,63.413,0.078135016,0,29.641,-23.725,0.03652248,-0.112603,-20.8645,0.05652248,36.275,109.1355
3,focal,1,25,7,972.937,1011.689,38.752,23.165,11.247,0,0,4,988.524,0.011841789,0,949.772,-18.742,0.011377569,-0.105691,1.245,0.031377569,41.258,131.245
5,focal,1,26,5,109.925,132.672,22.747,24.683,2.101,0,12.993,1,107.989,0.024647474,0.571196202,85.242,-34.75,0.019455685,0.458593202,34.7365,0.039455685,25.25,164.7365
6,focal,2,29,8,528.187,629.94,101.753,12.415,10.796,0,49.491,10,617.525,0.02093173,0.486383694,515.772,26.502,0.00585173,0.443163694,380.899,0.02585173,86.502,510.899
3,focal,1,32,2,605.416,655.41,49.994,18.419,1.748,0,0,3,636.991,0.002977869,0,586.997,-14.742,0.002744152,-0.105691,928.771,0.022744152,45.258,1058.771
5,focal,2,34,9,48.679,88.683,40.004,22.165,1.255,0,0,1,66.518,0.047333484,0,26.514,-17.493,0.018867074,-0.112603,-23.9915,0.038867074,42.507,106.0085
5,focal,1,35,4,1166.42,1202.176,35.756,25.419,1.497,0,2.253,3,1176.757,0.001312006,0.063010404,1141.001,-21.741,0.00127214,-0.049592596,1090.4955,0.02127214,38.259,1220.4955
5,focal,1,40,7,101.928,144.173,42.245,15.911,11.514,0,0,2,128.262,0.133857261,0,86.017,-15.252,0.089769378,-0.112603,35.5115,0.109769378,44.748,165.5115
6,focal,2,41,11,68.435,99.925,31.49,22.92,2.001,0,6.504,1,77.005,0.043963529,0.206541759,45.515,-43.761,0.028883529,0.163321759,-89.358,0.048883529,16.239,40.642
6,focal,2,42,9,125.436,168.691,43.255,28.415,4.746,0,12.997,1,140.276,0.048917245,0.300473934,97.021,-31.996,0.033837245,0.257253934,-37.852,0.053837245,28.004,92.148
1,focal,2,43,9,81.907,154.157,72.25,10.912,0,0,49.501,1,143.245,0,0.685134948,70.995,-2.499,0,0.371125948,1.5,0.02,57.501,131.5
4,focal,2,44,12,82.158,121.413,39.255,17.659,5.709,0,2.003,1,103.754,0.088513,0.051025347,64.499,-18.491,0.055024385,-0.008456653,23.4815,0.075024385,41.509,153.4815
2,focal,1,46,4,209.409,261.186,51.777,204.686,0,0,3.519,1,56.5,0,0.06796454,4.723,-17.94,0,-0.37867146,-24.625,0.02,42.06,105.375
6,focal,1,49,3,1018.17,1049.676,31.506,27.166,11.021,0,2.504,18,1022.51,0.011121045,0.079476925,991.004,-43.745,-0.003958955,0.036256925,856.131,0.016041045,16.255,986.131
