trial_num,running_away_dur
90,0.248
128,0.253
81,0.277
129,0.494
147,0.498
63,0.502
91,0.748
80,0.751
123,0.998
156,0.998
133,0.999
53,1
64,1
57,1.001
116,1.001
95,1.004
155,1.249
34,1.255
82,1.497
164,1.499
149,1.5
17,1.534
32,1.748
8,1.75
41,2.001
101,2.002
135,2.002
26,2.101
60,2.251
24,2.316
153,2.751
117,3.006
154,3.263
5,4.264
132,4.501
42,4.746
92,4.76
9,5.404
106,5.502
44,5.709
11,5.754
112,6.246
19,6.249
136,6.254
137,6.768
30,6.999
163,7.499
158,7.503
162,7.757
148,8.01
59,8.51
39,10.004
29,10.796
49,11.021
25,11.247
111,11.266
18,11.306
37,11.497
40,11.514
151,11.748
16,11.966
73,13.499
88,14.001
72,14.512
94,15.475
85,15.517
127,16.019
142,16.257
33,19.996
168,24.69
2,33.291
144,65.536
