replicate,sex,paint_mark,ID,treatment
1,male,.0,A,male
1,male,.2,B,male
1,male,.3,C,male
1,male,.4,D,male
1,male,.5,E,male
1,male,.7,F,male
1,male,.9,G,male
1,male,:1,H,male
1,male,:2,I,male
1,male,:6,J,male
1,male,:7,K,male
1,male,:9,L,male
1,female,9.,M,recent
1,female,1.,N,recent
1,female,7:,O,recent
1,female,4.,P,recent
1,female,9:,Q,recent
1,female,2:,R,recent
1,female,0.,S,distant
1,female,6.,T,distant
1,female,1:,U,distant
1,female,8.,V,distant
1,female,4:,W,distant
1,female,7.,X,distant
2,male,.0,A,male
2,male,.3,B,male
2,male,.5,C,male
2,male,.6,D,male
2,male,.7,E,male
2,male,.9,F,male
2,male,:0,G,male
2,male,:3,H,male
2,male,:4,I,male
2,male,:6,J,male
2,male,:7,K,male
2,male,:9,L,male
2,female,4:,M,recent
2,female,1.,N,recent
2,female,7.,O,recent
2,female,3.,P,recent
2,female,4.,Q,recent
2,female,5.,R,recent
2,female,6.,S,distant
2,female,2.,T,distant
2,female,8.,U,distant
2,female,0:,V,distant
2,female,2:,W,distant
2,female,0.,X,distant
3,male,.0,A,male
3,male,.3,B,male
3,male,.4,C,male
3,male,.5,D,male
3,male,:6,E,male
3,male,:7,F,male
3,male,:3,G,male
3,male,:4,H,male
3,male,:1,I,male
3,male,.2,J,male
3,male,.8,K,male
3,male,.9,L,male
3,female,7.,M,recent
3,female,4:,N,recent
3,female,2:,O,recent
3,female,9:,P,recent
3,female,2.,Q,recent
3,female,3:,R,recent
3,female,0:,S,distant
3,female,8.,T,distant
3,female,1.,U,distant
3,female,9.,V,distant
3,female,7:,W,distant
3,female,6:,X,distant
4,male,:1,A,male
4,male,.3,B,male
4,male,.9,C,male
4,male,.7,D,male
4,male,.5,E,male
4,male,.8,F,male
4,male,:9,G,male
4,male,.1,H,male
4,male,.4,I,male
4,male,:4,J,male
4,male,.0,K,male
4,male,.2,L,male
4,female,8.,M,recent
4,female,3.,N,recent
4,female,1:,O,recent
4,female,5.,P,recent
4,female,7:,Q,recent
4,female,0:,R,recent
4,female,7.,S,distant
4,female,3:,T,distant
4,female,9.,U,distant
4,female,0.,V,distant
4,female,2.,W,distant
4,female,6.,X,distant
5,male,.0,A,male
5,male,.1,B,male
5,male,.2,C,male
5,male,.4,D,male
5,male,:3,E,male
5,male,:1,F,male
5,male,.8,G,male
5,male,.9,H,male
5,male,:0,I,male
5,male,.7,J,male
5,male,.6,K,male
5,male,:7,L,male
5,female,7.,M,recent
5,female,8.,N,recent
5,female,3.,O,recent
5,female,7:,P,recent
5,female,6:,Q,recent
5,female,0.,R,recent
5,female,1.,S,distant
5,female,9.,T,distant
5,female,6.,U,distant
5,female,5.,V,distant
5,female,2.,W,distant
5,female,0:,X,distant
