replicate,day,arena,focal_sex,treatment,ID,trial_start,mating_start,mating_end,mating_latency,mating_duration,seconds,notes,,"DATE, TIME, and TEMP"
1,1,1,F,NA,0,8:40:41 AM,8:40:42 AM,8:42:02 AM,0:00:01,0:01:20,80,,,
1,1,2,F,NA,2,8:40:43 AM,8:40:56 AM,8:42:16 AM,0:00:13,0:01:20,80,,,
1,1,3,F,NA,1,8:40:52 AM,8:41:33 AM,8:42:47 AM,0:00:41,0:01:14,74,,,
1,1,4,F,NA,3,8:41:26 AM,8:41:48 AM,8:43:00 AM,0:00:22,0:01:12,72,,,
1,1,5,F,NA,2:00,8:41:43 AM,8:41:56 AM,8:43:13 AM,0:00:13,0:01:17,77,,,
1,1,6,F,NA,4:00,8:42:06 AM,8:42:23 AM,8:43:27 AM,0:00:17,0:01:04,64,,,
1,1,7,F,NA,8,8:42:38 AM,8:42:57 AM,8:43:57 AM,0:00:19,0:01:00,60,,,
1,1,8,F,NA,7:00,8:43:44 AM,8:44:33 AM,8:45:51 AM,0:00:49,0:01:18,78,,,
1,1,9,F,NA,0:00,8:43:50 AM,8:47:10 AM,8:47:56 AM,0:03:20,0:00:46,46,,,
1,1,10,F,NA,6,8:44:02 AM,8:44:16 AM,8:46:10 AM,0:00:14,0:01:54,114,,,
1,1,11,F,NA,9,8:44:25 AM,8:44:54 AM,8:46:11 AM,0:00:29,0:01:17,77,,,
1,1,12,F,NA,1:00,8:44:43 AM,8:44:56 AM,8:46:19 AM,0:00:13,0:01:23,83,,,
1,1,13,F,NA,5,8:45:00 AM,8:45:14 AM,8:47:42 AM,0:00:14,0:02:28,148,,,
1,1,14,F,NA,4,8:45:21 AM,8:45:40 AM,8:46:58 AM,0:00:19,0:01:18,78,,,
1,1,15,F,NA,9:00,8:46:44 AM,8:47:17 AM,8:48:21 AM,0:00:33,0:01:04,64,,,
1,1,16,F,NA,7,8:46:49 AM,8:47:19 AM,8:48:41 AM,0:00:30,0:01:22,82,,,
1,3,1,M,NA,0,8:40:23 AM,8:41:14 AM,8:42:52 AM,0:00:51,0:01:38,98,,,"DATE, TIME, and TEMP"
1,3,2,M,NA,0.1,8:40:34 AM,8:41:15 AM,8:42:47 AM,0:00:41,0:01:32,92,,,
1,3,3,M,NA,0.2,8:40:45 AM,8:41:32 AM,8:42:49 AM,0:00:47,0:01:17,77,,,
1,3,4,M,NA,0.3,8:41:00 AM,8:42:08 AM,8:43:45 AM,0:01:08,0:01:37,97,,,
1,3,5,M,NA,0.4,8:41:23 AM,8:42:25 AM,8:44:20 AM,0:01:02,0:01:55,115,,,
1,3,6,M,NA,0.5,8:41:36 AM,8:43:04 AM,8:44:27 AM,0:01:28,0:01:23,83,,,
1,3,7,M,NA,0.6,8:42:28 AM,8:52:41 AM,8:55:36 AM,0:10:13,0:02:55,175,New female,,
1,3,8,M,NA,0.7,8:42:39 AM,8:44:38 AM,8:46:45 AM,0:01:59,0:02:07,127,,,
1,3,9,M,NA,0.8,8:43:50 AM,8:46:11 AM,8:47:41 AM,0:02:21,0:01:30,90,,,
1,3,10,M,NA,0.9,8:45:02 AM,8:45:41 AM,8:48:12 AM,0:00:39,0:02:31,151,,,
1,3,11,M,NA,:0,8:45:00 AM,9:00:03 AM,9:03:41 AM,0:15:03,0:03:38,218,":0 was pooped on, sad",,
1,3,12,M,NA,:1,8:45:21 AM,8:45:53 AM,8:47:32 AM,0:00:32,0:01:39,99,,,
1,3,13,M,NA,:2,8:46:04 AM,8:47:00 AM,8:48:29 AM,0:00:56,0:01:29,89,,,
1,3,14,M,NA,:6,8:46:27 AM,8:47:17 AM,8:49:34 AM,0:00:50,0:02:17,137,,,
1,3,15,M,NA,:7,8:46:32 AM,8:48:38 AM,8:51:39 AM,0:02:06,0:03:01,181,,,
1,3,16,M,NA,:9,8:46:35 AM,8:47:27 AM,8:48:56 AM,0:00:52,0:01:29,89,,,
1,3,1,F,Mated,2,9:14:29 AM,9:14:43 AM,9:15:53 AM,0:00:14,0:01:10,70,,,
1,3,2,F,Non-mated,0,9:15:10 AM,NA,NA,NA,NA,#VALUE!,,,
1,3,3,F,Mated,0:00,9:15:32 AM,9:15:47 AM,9:16:56 AM,0:00:15,0:01:09,69,,,
1,3,4,F,Non-mated,3,9:16:24 AM,NA,NA,NA,NA,#VALUE!,,,
1,3,5,F,Mated,2:00,9:16:48 AM,9:20:28 AM,9:21:48 AM,0:03:40,0:01:20,80,,,
1,3,6,F,Non-mated,8,9:18:09 AM,NA,NA,NA,NA,#VALUE!,,,
1,3,7,F,Mated,9,9:18:46 AM,9:19:11 AM,9:20:26 AM,0:00:25,0:01:15,75,,,
1,3,8,F,Non-mated,5,9:19:43 AM,NA,NA,NA,NA,#VALUE!,,,
1,3,9,F,Mated,4,9:20:13 AM,9:20:57 AM,9:21:56 AM,0:00:44,0:00:59,59,,,
1,3,10,F,Non-mated,7,9:21:39 AM,NA,NA,NA,NA,#VALUE!,,,
1,3,11,F,Mated,1,9:23:41 AM,9:23:56 AM,9:25:25 AM,0:00:15,0:01:29,89,,,
1,3,12,F,Non-mated,6,9:24:07 AM,NA,NA,NA,NA,#VALUE!,,,
1,3,13,F,Mated,9:00,9:24 AM,9:25:03 AM,9:26:59 AM,0:01:03,0:01:56,116,,,
1,3,14,F,Non-mated,1:00,9:27:52 AM,NA,NA,NA,NA,#VALUE!,,,
1,3,15,F,Mated,7:00,9:28 AM,9:29:25 AM,9:30:08 AM,0:01:25,0:00:43,43,,,
1,3,16,F,Non-mated,4:00,9:28:26 AM,NA,NA,NA,NA,#VALUE!,,,
2,1,1,F,NA,6,8:42:39 AM,8:51:02 AM,8:51:54 AM,0:08:23,0:00:52,52,New Male,,
2,1,2,F,NA,1:00,8:42:33 AM,8:42:35 AM,8:43:44 AM,0:00:02,0:01:09,69,,,
2,1,3,F,NA,0:00,8:42:41 AM,8:42:55 AM,8:48:05 AM,0:00:14,0:05:10,310,End time very off,,
2,1,4,F,NA,3,8:42:36 AM,8:42:37 AM,8:43:50 AM,0:00:01,0:01:13,73,,,
2,1,5,F,NA,9:00,8:42:42 AM,8:42:45 AM,8:44:04 AM,0:00:03,0:01:19,79,,,
2,1,6,F,NA,2,8:43:13 AM,8:44:02 AM,8:45:07 AM,0:00:49,0:01:05,65,,,
2,1,7,F,NA,0,8:43:21 AM,9:02:38 AM,9:04:07 AM,0:19:17,0:01:29,89,"New Male, second male, taking a long time",,
2,1,8,F,NA,4:00,8:43:36 AM,8:44:44 AM,8:46:41 AM,0:01:08,0:01:57,117,,,
2,1,9,F,NA,1,8:44:27 AM,8:45:31 AM,8:46:44 AM,0:01:04,0:01:13,73,,,
2,1,10,F,NA,8,8:44:40 AM,8:44:53 AM,8:46:46 AM,0:00:13,0:01:53,113,,,
2,1,11,F,NA,5,8:45:28 AM,8:45:29 AM,8:47:46 AM,0:00:01,0:02:17,137,,,
2,1,12,F,NA,4,8:45:45 AM,8:46:18 AM,8:47:48 AM,0:00:33,0:01:30,90,,,
2,1,13,F,NA,2:00,8:46:02 AM,8:47:22 AM,8:48:57 AM,0:01:20,0:01:35,95,,,
2,1,14,F,NA,7,8:46:22 AM,8:47:00 AM,8:47:59 AM,0:00:38,0:00:59,59,,,
2,1,15,F,NA,9,8:46:56 AM,8:48:40 AM,8:49:54 AM,0:01:44,0:01:14,74,seems badly injured,,
2,3,1,M,NA,:9,8:42:35 AM,8:49:38 AM,8:52:08 AM,0:07:03,0:02:30,150,,,
2,3,2,M,NA,:7,8:42:36 AM,8:46:18 AM,8:48:04 AM,0:03:42,0:01:46,106,,,
2,3,3,M,NA,:1,8:42:39 AM,NA,NA,#VALUE!,#VALUE!,#VALUE!,,,
2,3,4,M,NA,0.2,8:42:42 AM,8:43:07 AM,8:44:46 AM,0:00:25,0:01:39,99,,,
2,3,5,M,NA,:3,8:42:47 AM,8:45:13 AM,8:46:26 AM,0:02:26,0:01:13,73,,,
2,3,6,M,NA,:4,8:42:52 AM,8:44:42 AM,8:46:27 AM,0:01:50,0:01:45,105,,,
2,3,7,M,NA,0.8,8:43:02 AM,8:43:23 AM,8:45:15 AM,0:00:21,0:01:52,112,,,
2,3,8,M,NA,0.5,8:43:16 AM,8:43:51 AM,8:45:35 AM,0:00:35,0:01:44,104,,,
2,3,9,M,NA,0.6,8:43:19 AM,8:43:38 AM,8:47:55 AM,0:00:19,0:04:17,257,,,
