replicate,ID,sex,size,treatment,mounts,evades,possible_aborts,aborts,evade_rate,abort_rate,insem_status,inseminations,insem_mount_ratio
1,A,male,,NA,1,NA,NA,NA,NA,NA,NA,0,0
1,B,male,,NA,3,NA,NA,NA,NA,NA,NA,1,0.333333333
1,C,male,,NA,1,NA,NA,NA,NA,NA,NA,1,1
1,D,male,,NA,8,NA,NA,NA,NA,NA,NA,1,0.125
1,E,male,,NA,2,NA,NA,NA,NA,NA,NA,1,0.5
1,F,male,,NA,3,NA,NA,NA,NA,NA,NA,0,0
1,G,male,,NA,2,NA,NA,NA,NA,NA,NA,1,0.5
1,H,male,,NA,0,NA,NA,NA,NA,NA,NA,0,NA
1,I,male,,NA,2,NA,NA,NA,NA,NA,NA,1,0.5
1,J,male,,NA,1,NA,NA,NA,NA,NA,NA,1,1
1,K,male,,NA,1,NA,NA,NA,NA,NA,NA,0,0
1,L,male,,NA,2,NA,NA,NA,NA,NA,NA,1,0.5
1,M,female,,recently,0,NA,NA,NA,NA,NA,N,0,NA
1,N,female,,recently,1,0,1,1,0,1,N,0,0
1,O,female,,recently,3,0,3,3,0,1,N,0,0
1,P,female,,recently,4,3,1,1,0.75,1,N,0,0
1,Q,female,,recently,2,1,1,1,0.5,1,N,0,0
1,R,female,,recently,4,1,4,2,0.25,0.5,Y,2,0.5
1,S,female,,distantly,2,1,1,0,0.5,0,Y,1,0.5
1,T,female,,distantly,1,0,1,0,0,0,Y,1,1
1,U,female,,distantly,1,0,1,0,0,0,Y,1,1
1,V,female,,distantly,3,0,3,2,0,0.666666667,Y,1,0.333333333
1,W,female,,distantly,3,2,1,0,0.666666667,0,Y,1,0.333333333
1,X,female,,distantly,2,2,1,0,1,0,Y,1,0.5
2,A,male,,NA,7,NA,NA,NA,NA,NA,NA,0,0
2,B,male,,NA,7,NA,NA,NA,NA,NA,NA,2,0.285714286
2,C,male,,NA,3,NA,NA,NA,NA,NA,NA,1,0.333333333
2,D,male,,NA,8,NA,NA,NA,NA,NA,NA,0,0
2,E,male,,NA,5,NA,NA,NA,NA,NA,NA,1,0.2
2,F,male,,NA,0,NA,NA,NA,NA,NA,NA,0,NA
2,G,male,,NA,9,NA,NA,NA,NA,NA,NA,3,0.333333333
2,H,male,,NA,4,NA,NA,NA,NA,NA,NA,2,0.5
2,I,male,,NA,5,NA,NA,NA,NA,NA,NA,2,0.4
2,J,male,,NA,2,NA,NA,NA,NA,NA,NA,1,0.5
2,K,male,,NA,5,NA,NA,NA,NA,NA,NA,2,0.4
2,L,male,,NA,8,NA,NA,NA,NA,NA,NA,0,0
2,M,female,,recently,4,2,3,2,0.5,0.666666667,Y,1,0.25
2,N,female,,recently,7,2,5,4,0.285714286,0.8,Y,1,0.142857143
2,O,female,,recently,6,2,5,4,0.333333333,0.8,Y,1,0.166666667
2,P,female,,recently,1,0,1,0,0,0,Y,1,1
2,Q,female,,recently,11,6,7,4,0.545454545,0.571428571,Y,3,0.272727273
2,R,female,,recently,15,8,9,8,0.533333333,0.888888889,Y,1,0.066666667
2,S,female,,distantly,0,0,0,0,NA,NA,N,0,NA
2,T,female,,distantly,7,0,7,4,0,0.571428571,Y,3,0.428571429
2,U,female,,distantly,3,2,1,0,0.666666667,0,Y,1,0.333333333
2,V,female,,distantly,8,2,7,6,0.25,0.857142857,Y,1,0.125
2,W,female,,distantly,1,0,1,0,0,0,Y,1,1
2,X,female,,distantly,0,0,0,0,NA,NA,N,0,NA
3,A,male,,NA,3,NA,NA,NA,NA,NA,NA,1,0.333333333
3,B,male,,NA,4,NA,NA,NA,NA,NA,NA,1,0.25
3,C,male,,NA,0,NA,NA,NA,NA,NA,NA,0,NA
3,D,male,,NA,0,NA,NA,NA,NA,NA,NA,0,NA
3,E,male,,NA,6,NA,NA,NA,NA,NA,NA,1,0.166666667
3,F,male,,NA,4,NA,NA,NA,NA,NA,NA,3,0.75
3,G,male,,NA,1,NA,NA,NA,NA,NA,NA,0,0
3,H,male,,NA,5,NA,NA,NA,NA,NA,NA,1,0.2
3,I,male,,NA,0,NA,NA,NA,NA,NA,NA,0,NA
3,J,male,,NA,1,NA,NA,NA,NA,NA,NA,1,1
3,K,male,,NA,2,NA,NA,NA,NA,NA,NA,1,0.5
3,L,male,,NA,1,NA,NA,NA,NA,NA,NA,0,0
3,M,female,,recently,5,2,3,2,0.4,0.666666667,Y,1,0.2
3,N,female,,recently,3,1,2,1,0.333333333,0.5,Y,1,0.333333333
3,O,female,,recently,5,5,0,0,1,NA,Y,1,0.2
3,P,female,,recently,1,1,0,0,1,NA,Y,0,0
3,Q,female,,recently,1,0,1,1,0,1,Y,0,0
3,R,female,,recently,2,1,1,0,0.5,0,Y,1,0.5
3,S,female,,distantly,6,3,6,0,0.5,NA,Y,4,0.666666667
3,T,female,,distantly,0,0,0,0,NA,NA,N,0,NA
3,U,female,,distantly,2,1,2,0,0.5,0,Y,1,0.5
3,V,female,,distantly,2,0,2,2,0,1,N,0,0
3,W,female,,distantly,0,0,0,0,NA,NA,N,0,NA
3,X,female,,distantly,0,0,0,0,NA,NA,N,0,NA
4,A,male,,NA,9,NA,NA,NA,NA,NA,NA,1,0.111111111
4,B,male,,NA,10,NA,NA,NA,NA,NA,NA,0,0
4,C,male,,NA,2,NA,NA,NA,NA,NA,NA,1,0.5
4,D,male,,NA,6,NA,NA,NA,NA,NA,NA,2,0.333333333
4,E,male,,NA,1,NA,NA,NA,NA,NA,NA,1,1
4,F,male,,NA,0,NA,NA,NA,NA,NA,NA,0,NA
4,G,male,,NA,2,NA,NA,NA,NA,NA,NA,1,0.5
4,H,male,,NA,1,NA,NA,NA,NA,NA,NA,1,1
4,I,male,,NA,8,NA,NA,NA,NA,NA,NA,2,0.25
4,J,male,,NA,2,NA,NA,NA,NA,NA,NA,0,0
4,K,male,,NA,7,NA,NA,NA,NA,NA,NA,2,0.285714286
4,L,male,,NA,4,NA,NA,NA,NA,NA,NA,3,0.75
4,M,female,,recently,3,1,3,2,0.333333333,0.666666667,Y,1,0.333333333
4,N,female,,recently,3,1,2,1,0.333333333,0.5,Y,1,0.333333333
4,O,female,,recently,9,8,2,2,0.888888889,1,N,0,0
4,P,female,,recently,0,0,0,0,NA,NA,N,0,NA
4,Q,female,,recently,2,0,2,1,0,0.5,Y,1,0.5
4,R,female,,recently,3,3,0,0,1,NA,N,0,0
4,S,female,,distantly,6,2,5,3,0.333333333,0.6,Y,2,0.333333333
4,T,female,,distantly,7,2,5,1,0.285714286,0.2,Y,3,0.428571429
4,U,female,,distantly,6,3,4,1,0.5,0.25,Y,3,0.5
4,V,female,,distantly,6,2,4,2,0.333333333,0.5,Y,2,0.333333333
4,W,female,,distantly,0,0,0,0,NA,NA,N,0,NA
4,X,female,,distantly,7,4,3,2,0.571428571,0.666666667,Y,1,0.142857143
5,A,male,,NA,5,NA,NA,NA,NA,NA,NA,2,0.4
5,B,male,,NA,7,NA,NA,NA,NA,NA,NA,1,0.142857143
5,C,male,,NA,9,NA,NA,NA,NA,NA,NA,2,0.222222222
5,D,male,,NA,1,NA,NA,NA,NA,NA,NA,1,1
5,E,male,,NA,4,NA,NA,NA,NA,NA,NA,1,0.25
5,F,male,,NA,0,NA,NA,NA,NA,NA,NA,0,NA
5,G,male,,NA,10,NA,NA,NA,NA,NA,NA,1,0.1
5,H,male,,NA,7,NA,NA,NA,NA,NA,NA,2,0.285714286
5,I,male,,NA,13,NA,NA,NA,NA,NA,NA,2,0.153846154
5,J,male,,NA,8,NA,NA,NA,NA,NA,NA,1,0.125
5,K,male,,NA,2,NA,NA,NA,NA,NA,NA,1,0.5
5,L,male,,NA,5,NA,NA,NA,NA,NA,NA,2,0.4
5,M,female,,recently,5,1,5,4,0.2,0.8,Y,1,0.2
5,N,female,,recently,5,1,4,3,0.2,0.75,Y,1,0.2
5,O,female,,recently,9,5,5,3,0.555555556,0.6,Y,2,0.222222222
5,P,female,,recently,6,1,5,4,0.166666667,0.8,Y,1,0.166666667
5,Q,female,,recently,5,3,5,4,0.6,0.8,Y,1,0.2
5,R,female,,recently,5,1,4,4,0.2,1,N,0,0
5,S,female,,distantly,4,3,2,1,0.75,0.5,Y,1,0.25
5,T,female,,distantly,5,0,5,4,0,0.8,Y,1,0.2
5,U,female,,distantly,8,5,5,4,0.625,0.8,Y,1,0.125
5,V,female,,distantly,10,3,9,6,0.3,0.666666667,Y,2,0.2
5,W,female,,distantly,4,3,2,1,0.75,0.5,Y,1,0.25
5,X,female,,distantly,5,0,5,1,0,0.2,Y,4,0.8
