replicate,male_ID,female_ID,weight
1,A,P,1
1,B,S,1
1,B,X,1
1,D,P,0.666666667
1,E,W,0.5
1,F,Q,1
1,G,R,1
1,L,W,1
2,B,R,0.333333333
2,D,V,0.333333333
2,G,N,0.333333333
2,E,Q,0.5
2,I,M,0.5
2,L,R,0.5
2,A,M,1
2,A,R,1
2,B,Q,1
2,B,U,1
2,D,N,1
2,D,Q,1
2,D,U,1
2,E,V,1
2,H,O,1
2,J,O,1
2,L,Q,1
3,E,M,0.333333333
3,B,S,0.5
3,F,S,0.5
3,A,N,1
3,B,O,1
3,B,P,1
3,E,R,1
3,E,S,1
3,E,U,1
3,G,M,1
3,H,O,1
3,J,O,1
3,L,O,1
4,A,O,0.5
4,A,T,0.5
4,B,N,0.5
4,B,S,0.5
4,B,T,0.5
4,D,X,0.5
4,A,R,1
4,A,U,1
4,B,O,1
4,B,U,1
4,B,V,1
4,B,X,1
4,D,S,1
4,E,M,1
4,G,V,1
4,I,O,1
4,I,R,1
4,I,X,1
4,K,O,1
4,K,U,1
4,K,X,1
5,I,U,0.333333333
5,G,M,0.5
5,I,P,0.5
5,C,Q,0.5
5,L,S,0.5
5,C,N,1
5,B,O,1
5,I,O,1
5,J,O,1
5,A,Q,1
5,G,Q,1
5,G,R,1
5,I,S,1
5,K,S,1
5,A,U,1
5,B,U,1
5,C,U,1
5,H,U,1
5,A,V,1
5,G,V,1
5,L,V,1
5,C,W,1
5,H,W,1
5,J,W,1
