replicate,start_time,end_time,behaviour,focal,male_ID,partner,female_ID,treatment,avoidances,avoidance_success,aborts,notes
1,9:54:48 AM,,mount,0.9,G,1,N,recently,n,NA,y,
2,9:53:39 AM,9:54:06 AM,mating,:4,I,4:00,M,recently,n,NA,n,
4,9:54:54 AM,9:55:29 AM,mating,0.5,E,8,M,recently,y,n,n,
4,9:56:56 AM,10:01:24 AM,mating,0.7,D,3,N,recently,n,NA,n,
5,9:54:28 AM,,mating,0,A,6:00,Q,recently,y,n,n,
5,10:00:36 AM,,mount,:0,I,1,S,distantly,y,n,y,
5,10:25:05 AM,,mating,0.2,C,6,U,distantly,y,n,n,
1,9:54:55 AM,,mount,0.4,D,7:00,O,recently,n,NA,y,
1,10:07:14 AM,,mount,0.4,D,7:00,O,recently,n,NA,y,
1,10:13:35 AM,,mount,0.4,D,7:00,O,recently,n,NA,y,
1,10:02:29 AM,,mount,0.4,D,4,P,recently,n,NA,y,
1,9:56:03 AM,,mount,0,A,4,P,recently,y,y,NA,
1,9:57:56 AM,,mount,0.4,D,4,P,recently,y,y,NA,
1,10:03:35 AM,,mount,0.4,D,4,P,recently,y,y,NA,
1,9:54:26 AM,,mount,0.4,D,9:00,Q,recently,n,NA,y,
1,10:38:36 AM,,mount,0.7,F,9:00,Q,recently,y,y,NA,
1,9:55:06 AM,9:56:00 AM,mating,:2,I,2:00,R,recently,n,NA,n,
1,10:14:00 AM,10:15:08 AM,mating,0.3,C,0,S,distantly,n,NA,n,
1,10:36:09 AM,10:37:07 AM,mating,:9,L,6,T,distantly,n,NA,n,
1,10:24:31 AM,10:25:22 AM,mating,0.4,D,1:00,U,distantly,n,NA,n,
2,9:54:18 AM,9:54:46 AM,mating,:0,G,1,N,recently,n,NA,n,
2,9:58:00 AM,9:59:14 AM,mating,:4,I,7,O,recently,n,n,n,
2,10:30:20 AM,,mating,:7,K,3,P,recently,n,NA,n,
2,9:54:28 AM,9:54:50 AM,mating,0.7,E,4,Q,recently,n,NA,n,
2,9:53:19 AM,9:56:44 AM,mating,0.3,B,5,R,recently,n,NA,n,
2,9:54:27 AM,9:55:12 AM,mating,:6,J,2,T,distantly,n,NA,n,
2,9:53:28 AM,9:56:43 AM,mating,0.5,C,8,U,distantly,n,NA,n,
2,9:57:14 AM,,mount,:9,L,0:00,V,distantly,n,NA,y,
2,9:59:59 AM,10:00:55 AM,mating,:0,G,0:00,V,distantly,n,NA,n,
2,10:52:33 AM,,mating,:3,H,2:00,W,distantly,n,NA,n,
3,10:02:22 AM,,mount,:6,E,7,M,recently,n,NA,y,
3,10:08:52 AM,,mount,:4,H,7,M,recently,n,NA,y,
3,10:30:07 AM,10:33:39 AM,mating,:6,E,7,M,recently,n,NA,n,
3,10:27:55 AM,,mount,:3,G,7,M,recently,y,y,NA,
3,10:36:53 AM,10:54:14 AM,mating,0.8,K,4:00,N,recently,n,NA,n,
3,9:59:43 AM,,mating,0.2,J,2:00,O,recently,y,y,NA,
4,10:04:43 AM,,mount,0.7,D,1:00,O,recently,y,n,y,
4,10:27:15 AM,,mount,:1,A,1:00,O,recently,n,NA,y,
4,10:07:10 AM,,mount,0.4,I,1:00,O,recently,y,y,NA,
4,10:13:12 AM,,mount,0.4,I,1:00,O,recently,y,y,NA,
4,10:25:22 AM,,mount,:1,A,1:00,O,recently,y,y,NA,
4,10:35:19 AM,,mount,0,K,1:00,O,recently,y,y,NA,
4,10:37:04 AM,,mount,0,K,1:00,O,recently,y,y,NA,
4,10:39:41 AM,,mount,0.3,B,1:00,O,recently,y,y,NA,
4,10:40:55 AM,,mount,0,K,1:00,O,recently,y,y,NA,
5,9:51:03 AM,,mating,0.4,D,7,M,recently,n,NA,n,
5,9:51:10 AM,9:52:06 AM,mating,0.2,C,0:00,X,distantly,n,NA,n,
5,9:51:11 AM,,mating,0.7,J,5,V,distantly,n,NA,n,
5,9:51:29 AM,9:51:44 AM,mating,:0,I,7:00,P,recently,n,NA,n,
5,9:51:48 AM,,mating,:1,I,8,N,recently,n,NA,n,
5,9:52:15 AM,,mount,:3,E,9,T,distantly,n,NA,y,
5,9:52:54 AM,9:53:32 AM,mating,0.1,B,9,T,distantly,n,NA,n,
5,9:53:46 AM,9:55:19 AM,mating,:7,L,2,W,distantly,n,NA,n,
5,9:55:06 AM,9:55:40 AM,mating,0.8,G,3,O,recently,n,NA,n,
5,10:03:28 AM,,mating,:7,L,1,S,distantly,n,NA,n,
5,10:16:28 AM,,mount,:0,I,6,U,distantly,n,NA,y,
5,10:27:55 AM,,mount,0,A,0,R,recently,n,NA,y,
5,10:28:15 AM,,mount,:0,I,0,R,recently,n,NA,y,
5,10:28:26 AM,,mount,0.7,J,0,R,recently,n,NA,y,
5,10:31:00 AM,,mount,0.1,B,0,R,recently,n,NA,y,
1,9:55:22 AM,,mount,0.7,F,8,V,distantly,n,NA,y,
1,9:56:50 AM,10:02:50 AM,mating,:6,J,8,V,distantly,n,NA,n,
1,10:12:48 AM,10:14:39 AM,mating,0.5,E,4:00,W,distantly,n,NA,n,
1,10:03:53 AM,,mount,:9,L,4:00,W,distantly,y,y,NA,
1,9:58:52 AM,10:00:40 AM,mating,0.2,B,7,X,distantly,y,n,n,
1,9:54:15 AM,,mount,0.2,B,7,X,distantly,y,y,NA,
3,10:26:19 AM,,mount,0.3,B,9:00,P,recently,y,y,NA,
3,10:19:13 AM,,mount,:4,H,2,Q,recently,n,NA,y,
3,10:27:25 AM,10:28:46 AM,mating,:4,H,3:00,R,recently,n,NA,n,
3,10:06:45 AM,,mount,:6,E,3:00,R,recently,y,y,NA,
3,10:29:35 AM,,mount,:6,E,0:00,S,distantly,y,y,NA,
3,10:34:59 AM,,mount,0.3,B,0:00,S,distantly,y,y,NA,
4,9:48:11 AM,9:48:33 AM,mating,0,K,7:00,Q,recently,n,NA,n,
4,10:41:13 AM,,mount,0,K,7:00,Q,recently,n,NA,y,
4,10:00:57 AM,,mount,:1,A,0:00,R,recently,y,y,NA,
4,10:06:23 AM,,mount,0.4,I,0:00,R,recently,y,y,NA,
4,10:32:24 AM,,mount,:1,A,0:00,R,recently,y,y,NA,
4,9:47:11 AM,,mating,0.1,H,7,S,distantly,n,NA,n,
4,10:08:27 AM,10:08:56 AM,mating,0.2,L,3:00,T,distantly,n,NA,n,
4,10:02:16 AM,10:03:12 AM,mating,0.4,I,9,U,distantly,n,NA,n,
4,9:45:00 AM,,mating,:1,A,0,V,distantly,n,NA,n,
4,9:46:00 AM,,mating,0.2,L,6,X,distantly,n,NA,n,
5,9:53:52 AM,,mount,:1,I,3,O,recently,y,y,NA,
5,10:03:37 AM,,mount,0,A,6,U,distantly,y,y,NA,
5,10:13:01 AM,,mount,0.9,H,6,U,distantly,y,y,NA,
5,10:22:11 AM,,mount,0.8,G,0,R,recently,y,y,NA,
3,10:35:54 AM,10:37:54 AM,mating,0.3,B,0:00,S,distantly,n,,n,
3,10:25:25 AM,10:26:55 AM,mating,:7,F,1,U,distantly,n,,n,
3,10:17:41 AM,,mount,:7,F,9,V,distantly,n,,y,
3,10:24:00 AM,,mount,0,A,9,V,distantly,n,,y,
