replicate,start_time,end_time,behaviour,focal,male_ID,partner,female_ID,treatment,avoidances,avoidance_success,aborts,notes
1,10:24:00 AM,10:25:00 AM,mating,0.9,G,2:00,R,recently,y,n,n,
1,9:58:52 AM,10:00:40 AM,mating,0.2,B,7,X,distantly,y,n,n,
2,10:04:08 AM,,mount,:4,I,4:00,M,recently,y,n,y,
2,9:58:00 AM,9:59:14 AM,mating,:4,I,7,O,recently,n,n,n,
2,10:32:00 AM,,mount,:3,H,7,O,recently,y,n,y,
2,10:16:44 AM,,mount,0.7,E,4,Q,recently,y,n,y,
2,10:39:38 AM,,mount,:9,L,4,Q,recently,y,n,y,
2,10:04:30 AM,,mount,0,A,5,R,recently,y,n,y,
2,10:25:00 AM,,mount,:9,L,5,R,recently,y,n,y,
2,10:38:58 AM,,mount,0.7,E,0:00,V,distantly,y,n,y,
3,10:30:07 AM,10:33:39 AM,mating,:6,E,7,M,recently,n,NA,n,
3,10:02:22 AM,,mount,:6,E,7,M,recently,n,NA,y,
4,9:58:49 AM,10:00:25 AM,mating,0,K,9,U,distantly,y,n,n,
4,10:21:23 AM,10:22:09 AM,mating,0.7,D,7,S,distantly,y,n,n,
4,9:54:54 AM,9:55:29 AM,mating,0.5,E,8,M,recently,y,n,n,
4,10:04:43 AM,,mount,0.7,D,1:00,O,recently,y,n,y,
5,9:54:28 AM,,mating,0,A,6:00,Q,recently,y,n,n,
5,10:00:36 AM,,mount,:0,I,1,S,distantly,y,n,y,
5,10:04:49 AM,,mount,0.8,G,5,V,distantly,y,n,y,
5,10:08:40 AM,,mount,0.8,G,7,M,recently,y,n,y,
5,10:20:25 AM,,mount,0.8,G,6:00,Q,recently,y,n,y,
5,10:25:05 AM,,mating,0.2,C,6,U,distantly,y,n,n,
5,10:34:42 AM,,mount,:0,I,6,U,distantly,y,n,y,
5,10:36:42 AM,,mount,:0,I,3,O,recently,y,n,y,
5,10:36:55 AM,,mount,0.2,C,6:00,Q,recently,y,n,y,
5,10:39:05 AM,,mount,0.2,C,2,W,distantly,y,n,y,
5,10:43:57 AM,,mount,:7,L,5,V,distantly,y,n,y,
1,9:54:48 AM,,mount,0.9,G,1,N,recently,n,NA,y,
1,9:54:55 AM,,mount,0.4,D,7:00,O,recently,n,NA,y,
1,10:07:14 AM,,mount,0.4,D,7:00,O,recently,n,NA,y,
1,10:13:35 AM,,mount,0.4,D,7:00,O,recently,n,NA,y,
1,10:02:29 AM,,mount,0.4,D,4,P,recently,n,NA,y,
1,9:54:26 AM,,mount,0.4,D,9:00,Q,recently,n,NA,y,
1,9:55:06 AM,9:56:00 AM,mating,:2,I,2:00,R,recently,n,NA,n,
1,10:20:00 AM,,mount,:2,I,2:00,R,recently,n,NA,y,
1,10:37:45 AM,,mount,:7,K,2:00,R,recently,n,NA,y,
1,10:14:00 AM,10:15:08 AM,mating,0.3,C,0,S,distantly,n,NA,n,
1,10:36:09 AM,10:37:07 AM,mating,:9,L,6,T,distantly,n,NA,n,
1,10:24:31 AM,10:25:22 AM,mating,0.4,D,1:00,U,distantly,n,NA,n,
